17:31:36.934 [main] INFO  ADV.EMCO.login - Record Number 77 Processed:19651853
17:31:44.831 [main] INFO  ADV.EMCO.login - Record Number 78 Processed:19651867
17:31:54.102 [main] INFO  ADV.EMCO.login - Record Number 79 Processed:19651872
17:32:02.916 [main] INFO  ADV.EMCO.login - Record Number 80 Processed:19651876
17:32:10.950 [main] INFO  ADV.EMCO.login - Record Number 81 Processed:19651878
17:32:18.337 [main] INFO  ADV.EMCO.login - Record Number 82 Processed:19651889
17:32:29.322 [main] INFO  ADV.EMCO.login - Record Number 83 Processed:19651898
17:32:37.702 [main] INFO  ADV.EMCO.login - Record Number 84 Processed:19651908
17:32:45.288 [main] INFO  ADV.EMCO.login - Record Number 85 Processed:19652880
17:32:54.267 [main] INFO  ADV.EMCO.login - Record Number 86 Processed:19652892
17:33:01.604 [main] INFO  ADV.EMCO.login - Record Number 87 Processed:19652896
17:33:10.023 [main] INFO  ADV.EMCO.login - Record Number 88 Processed:19652916
17:33:18.639 [main] INFO  ADV.EMCO.login - Record Number 89 Processed:19652922
17:33:26.677 [main] INFO  ADV.EMCO.login - Record Number 90 Processed:19652924
17:33:34.341 [main] INFO  ADV.EMCO.login - Record Number 91 Processed:19652928
17:33:41.971 [main] INFO  ADV.EMCO.login - Record Number 92 Processed:19652940
17:33:49.591 [main] INFO  ADV.EMCO.login - Record Number 93 Processed:19652953
17:34:00.522 [main] INFO  ADV.EMCO.login - Record Number 94 Processed:19652962
17:34:08.750 [main] INFO  ADV.EMCO.login - Record Number 95 Processed:19652979
17:34:16.352 [main] INFO  ADV.EMCO.login - Record Number 96 Processed:19652995
17:34:26.480 [main] INFO  ADV.EMCO.login - Record Number 97 Processed:19653001
17:34:34.917 [main] INFO  ADV.EMCO.login - Record Number 98 Processed:19653027
17:34:42.157 [main] INFO  ADV.EMCO.login - Record Number 99 Processed:19653035
17:34:49.187 [main] INFO  ADV.EMCO.login - Record Number 100 Processed:19653042
17:34:56.544 [main] INFO  ADV.EMCO.login - Record Number 101 Processed:19653045
17:35:04.316 [main] INFO  ADV.EMCO.login - Record Number 102 Processed:19653067
17:35:13.291 [main] INFO  ADV.EMCO.login - Record Number 103 Processed:19653091
17:35:21.804 [main] INFO  ADV.EMCO.login - Record Number 104 Processed:19650711
17:35:32.295 [main] INFO  ADV.EMCO.login - Record Number 105 Processed:19650915
17:35:40.084 [main] INFO  ADV.EMCO.login - Record Number 106 Processed:19650919
17:35:50.003 [main] INFO  ADV.EMCO.login - Record Number 107 Processed:19651817
17:35:58.865 [main] INFO  ADV.EMCO.login - Record Number 108 Processed:19651829
17:36:07.174 [main] INFO  ADV.EMCO.login - Record Number 109 Processed:19651846
17:36:14.975 [main] INFO  ADV.EMCO.login - Record Number 110 Processed:19651849
17:36:22.179 [main] INFO  ADV.EMCO.login - Record Number 111 Processed:19651857
17:36:29.291 [main] INFO  ADV.EMCO.login - Record Number 112 Processed:19651865
17:36:37.057 [main] INFO  ADV.EMCO.login - Record Number 113 Processed:19651879
17:36:45.640 [main] INFO  ADV.EMCO.login - Record Number 114 Processed:19651880
17:36:53.195 [main] INFO  ADV.EMCO.login - Record Number 115 Processed:19651893
17:37:04.647 [main] INFO  ADV.EMCO.login - Record Number 116 Processed:19651895
17:37:12.945 [main] INFO  ADV.EMCO.login - Record Number 117 Processed:19651904
17:37:20.687 [main] INFO  ADV.EMCO.login - Record Number 118 Processed:19652863
17:37:28.975 [main] INFO  ADV.EMCO.login - Record Number 119 Processed:19652876
17:37:36.690 [main] INFO  ADV.EMCO.login - Record Number 120 Processed:19652894
17:37:44.360 [main] INFO  ADV.EMCO.login - Record Number 121 Processed:19652899
17:37:51.363 [main] INFO  ADV.EMCO.login - Record Number 122 Processed:19652902
17:37:59.461 [main] INFO  ADV.EMCO.login - Record Number 123 Processed:19652908
17:38:06.388 [main] INFO  ADV.EMCO.login - Record Number 124 Processed:19652931
17:38:13.877 [main] INFO  ADV.EMCO.login - Record Number 125 Processed:19652949
17:38:22.106 [main] INFO  ADV.EMCO.login - Record Number 126 Processed:19652961
17:38:32.806 [main] INFO  ADV.EMCO.login - Record Number 127 Processed:19652973
17:38:48.725 [main] INFO  ADV.EMCO.login - Record Number 128 Processed:19652981
17:38:56.371 [main] INFO  ADV.EMCO.login - Record Number 129 Processed:19652990
17:39:04.123 [main] INFO  ADV.EMCO.login - Record Number 130 Processed:19653011
17:39:11.985 [main] INFO  ADV.EMCO.login - Record Number 131 Processed:19653012
17:39:19.310 [main] INFO  ADV.EMCO.login - Record Number 132 Processed:19653015
17:39:26.934 [main] INFO  ADV.EMCO.login - Record Number 133 Processed:19653024
17:39:35.288 [main] INFO  ADV.EMCO.login - Record Number 134 Processed:19653053
17:39:44.152 [main] INFO  ADV.EMCO.login - Record Number 135 Processed:19653058
17:39:53.651 [main] INFO  ADV.EMCO.login - Record Number 136 Processed:19653073
17:40:04.403 [main] INFO  ADV.EMCO.login - Record Number 137 Processed:19653102
17:40:12.354 [main] INFO  ADV.EMCO.login - Record Number 138 Processed:19653108
17:40:21.954 [main] INFO  ADV.EMCO.login - Record Number 139 Processed:19650911
17:40:28.893 [main] INFO  ADV.EMCO.login - Record Number 140 Processed:19650706
17:40:37.636 [main] INFO  ADV.EMCO.login - Record Number 141 Processed:19650716
17:40:45.199 [main] INFO  ADV.EMCO.login - Record Number 142 Processed:19650748
17:40:52.840 [main] INFO  ADV.EMCO.login - Record Number 143 Processed:19650756
17:41:01.386 [main] INFO  ADV.EMCO.login - Record Number 144 Processed:19650772
17:41:09.474 [main] INFO  ADV.EMCO.login - Record Number 145 Processed:19650910
17:41:16.986 [main] INFO  ADV.EMCO.login - Record Number 146 Processed:19650918
17:41:25.538 [main] INFO  ADV.EMCO.login - Record Number 147 Processed:19651835
17:41:35.358 [main] INFO  ADV.EMCO.login - Record Number 148 Processed:19651845
17:41:42.878 [main] INFO  ADV.EMCO.login - Record Number 149 Processed:19651903
17:41:50.585 [main] INFO  ADV.EMCO.login - Record Number 150 Processed:19652858
17:41:58.207 [main] INFO  ADV.EMCO.login - Record Number 151 Processed:19652906
17:42:04.967 [main] INFO  ADV.EMCO.login - Record Number 152 Processed:19652929
17:42:12.028 [main] INFO  ADV.EMCO.login - Record Number 153 Processed:19652954
17:42:20.010 [main] INFO  ADV.EMCO.login - Record Number 154 Processed:19652966
17:42:28.842 [main] INFO  ADV.EMCO.login - Record Number 155 Processed:19652978
17:42:37.362 [main] INFO  ADV.EMCO.login - Record Number 156 Processed:19653034
17:42:44.514 [main] INFO  ADV.EMCO.login - Record Number 157 Processed:19653049
17:42:51.906 [main] INFO  ADV.EMCO.login - Record Number 158 Processed:19653066
17:43:03.677 [main] INFO  ADV.EMCO.login - Record Number 159 Processed:19653094
17:43:13.522 [main] INFO  ADV.EMCO.login - Record Number 160 Processed:19653096
17:43:23.489 [main] INFO  ADV.EMCO.login - Record Number 161 Processed:19653099
17:43:30.729 [main] INFO  ADV.EMCO.login - Record Number 162 Processed:19653110
17:43:38.473 [main] INFO  ADV.EMCO.login - Record Number 163 Processed:19650700
17:43:46.537 [main] INFO  ADV.EMCO.login - Record Number 164 Processed:19650721
17:43:54.618 [main] INFO  ADV.EMCO.login - Record Number 165 Processed:19650753
17:44:02.325 [main] INFO  ADV.EMCO.login - Record Number 166 Processed:19650757
17:44:09.959 [main] INFO  ADV.EMCO.login - Record Number 167 Processed:19650796
17:44:17.184 [main] INFO  ADV.EMCO.login - Record Number 168 Processed:19650909
17:44:25.013 [main] INFO  ADV.EMCO.login - Record Number 169 Processed:19650924
17:44:33.088 [main] INFO  ADV.EMCO.login - Record Number 170 Processed:19651790
17:44:40.394 [main] INFO  ADV.EMCO.login - Record Number 171 Processed:19651826
17:44:48.558 [main] INFO  ADV.EMCO.login - Record Number 172 Processed:19651840
17:44:55.964 [main] INFO  ADV.EMCO.login - Record Number 173 Processed:19651855
17:45:04.317 [main] INFO  ADV.EMCO.login - Record Number 174 Processed:19651858
17:45:23.077 [main] INFO  ADV.EMCO.login - Record Number 175 Processed:19650684
17:45:30.710 [main] INFO  ADV.EMCO.login - Record Number 176 Processed:19650687
17:45:38.579 [main] INFO  ADV.EMCO.login - Record Number 177 Processed:19650688
17:45:46.744 [main] INFO  ADV.EMCO.login - Record Number 178 Processed:19650689
17:45:54.153 [main] INFO  ADV.EMCO.login - Record Number 179 Processed:19650690
17:46:04.912 [main] INFO  ADV.EMCO.login - Record Number 180 Processed:19650691
17:46:13.725 [main] INFO  ADV.EMCO.login - Record Number 181 Processed:19650693
17:46:22.012 [main] INFO  ADV.EMCO.login - Record Number 182 Processed:19650694
17:46:29.619 [main] INFO  ADV.EMCO.login - Record Number 183 Processed:19650695
17:46:37.353 [main] INFO  ADV.EMCO.login - Record Number 184 Processed:19650696
17:46:45.874 [main] INFO  ADV.EMCO.login - Record Number 185 Processed:19650697
17:46:54.074 [main] INFO  ADV.EMCO.login - Record Number 186 Processed:19650698
17:47:01.667 [main] INFO  ADV.EMCO.login - Record Number 187 Processed:19650699
17:47:08.424 [main] INFO  ADV.EMCO.login - Record Number 188 Processed:19650701
17:47:15.350 [main] INFO  ADV.EMCO.login - Record Number 189 Processed:19650703
17:47:24.525 [main] INFO  ADV.EMCO.login - Record Number 190 Processed:19650704
17:47:34.019 [main] INFO  ADV.EMCO.login - Record Number 191 Processed:19650705
17:47:42.682 [main] INFO  ADV.EMCO.login - Record Number 192 Processed:19650708
17:47:50.935 [main] INFO  ADV.EMCO.login - Record Number 193 Processed:19650709
17:47:58.257 [main] INFO  ADV.EMCO.login - Record Number 194 Processed:19650710
17:48:05.596 [main] INFO  ADV.EMCO.login - Record Number 195 Processed:19650712
17:48:12.782 [main] INFO  ADV.EMCO.login - Record Number 196 Processed:19650713
17:48:20.337 [main] INFO  ADV.EMCO.login - Record Number 197 Processed:19650714
17:48:28.317 [main] INFO  ADV.EMCO.login - Record Number 198 Processed:19650717
17:48:35.523 [main] INFO  ADV.EMCO.login - Record Number 199 Processed:19650718
17:48:42.983 [main] INFO  ADV.EMCO.login - Record Number 200 Processed:19650719
17:51:31.640 [main] INFO  ADV.EMCO.login - Record Number 201 Processed:19650720
17:51:41.708 [main] INFO  ADV.EMCO.login - Record Number 202 Processed:19650723
17:51:48.329 [main] INFO  ADV.EMCO.login - Record Number 203 Processed:19650746
17:51:54.685 [main] INFO  ADV.EMCO.login - Record Number 204 Processed:19650749
17:52:01.285 [main] INFO  ADV.EMCO.login - Record Number 205 Processed:19650750
17:52:09.868 [main] INFO  ADV.EMCO.login - Record Number 206 Processed:19650752
17:52:19.387 [main] INFO  ADV.EMCO.login - Record Number 207 Processed:19650755
17:52:26.861 [main] INFO  ADV.EMCO.login - Record Number 208 Processed:19650758
17:52:33.813 [main] INFO  ADV.EMCO.login - Record Number 209 Processed:19650759
17:52:40.807 [main] INFO  ADV.EMCO.login - Record Number 210 Processed:19650760
17:52:48.448 [main] INFO  ADV.EMCO.login - Record Number 211 Processed:19650762
17:52:57.013 [main] INFO  ADV.EMCO.login - Record Number 212 Processed:19650764
17:53:04.697 [main] INFO  ADV.EMCO.login - Record Number 213 Processed:19650766
17:53:12.049 [main] INFO  ADV.EMCO.login - Record Number 214 Processed:19650767
17:53:19.692 [main] INFO  ADV.EMCO.login - Record Number 215 Processed:19650768
17:53:26.860 [main] INFO  ADV.EMCO.login - Record Number 216 Processed:19650769
17:53:37.448 [main] INFO  ADV.EMCO.login - Record Number 217 Processed:19650770
17:53:47.747 [main] INFO  ADV.EMCO.login - Record Number 218 Processed:19650771
17:53:56.498 [main] INFO  ADV.EMCO.login - Record Number 219 Processed:19650773
17:54:05.834 [main] INFO  ADV.EMCO.login - Record Number 220 Processed:19650774
17:54:15.127 [main] INFO  ADV.EMCO.login - Record Number 221 Processed:19650776
17:54:23.156 [main] INFO  ADV.EMCO.login - Record Number 222 Processed:19650777
17:54:31.006 [main] INFO  ADV.EMCO.login - Record Number 223 Processed:19650778
17:54:38.169 [main] INFO  ADV.EMCO.login - Record Number 224 Processed:19650779
17:54:45.846 [main] INFO  ADV.EMCO.login - Record Number 225 Processed:19650780
17:54:53.030 [main] INFO  ADV.EMCO.login - Record Number 226 Processed:19650781
17:55:01.003 [main] INFO  ADV.EMCO.login - Record Number 227 Processed:19650782
17:55:10.246 [main] INFO  ADV.EMCO.login - Record Number 228 Processed:19650783
17:55:17.754 [main] INFO  ADV.EMCO.login - Record Number 229 Processed:19650784
17:55:25.359 [main] INFO  ADV.EMCO.login - Record Number 230 Processed:19650787
17:55:35.670 [main] INFO  ADV.EMCO.login - Record Number 231 Processed:19650790
17:55:44.075 [main] INFO  ADV.EMCO.login - Record Number 232 Processed:19650791
17:55:51.807 [main] INFO  ADV.EMCO.login - Record Number 233 Processed:19650792
17:55:59.626 [main] INFO  ADV.EMCO.login - Record Number 234 Processed:19650793
17:56:06.757 [main] INFO  ADV.EMCO.login - Record Number 235 Processed:19650794
17:56:13.949 [main] INFO  ADV.EMCO.login - Record Number 236 Processed:19650795
17:56:21.420 [main] INFO  ADV.EMCO.login - Record Number 237 Processed:19650797
17:56:28.875 [main] INFO  ADV.EMCO.login - Record Number 238 Processed:19650798
17:56:38.113 [main] INFO  ADV.EMCO.login - Record Number 239 Processed:19650799
17:56:46.346 [main] INFO  ADV.EMCO.login - Record Number 240 Processed:19650801
17:56:53.962 [main] INFO  ADV.EMCO.login - Record Number 241 Processed:19650803
17:57:04.170 [main] INFO  ADV.EMCO.login - Record Number 242 Processed:19650805
17:57:11.286 [main] INFO  ADV.EMCO.login - Record Number 243 Processed:19650806
17:57:18.008 [main] INFO  ADV.EMCO.login - Record Number 244 Processed:19650807
17:57:25.241 [main] INFO  ADV.EMCO.login - Record Number 245 Processed:19650808
17:57:32.080 [main] INFO  ADV.EMCO.login - Record Number 246 Processed:19650809
17:57:38.961 [main] INFO  ADV.EMCO.login - Record Number 247 Processed:19650880
17:57:45.918 [main] INFO  ADV.EMCO.login - Record Number 248 Processed:19650908
17:57:52.758 [main] INFO  ADV.EMCO.login - Record Number 249 Processed:19650912
17:57:59.964 [main] INFO  ADV.EMCO.login - Record Number 250 Processed:19650913
17:58:08.388 [main] INFO  ADV.EMCO.login - Record Number 251 Processed:19650914
17:58:17.500 [main] INFO  ADV.EMCO.login - Record Number 252 Processed:19650916
17:58:26.259 [main] INFO  ADV.EMCO.login - Record Number 253 Processed:19650917
17:58:33.484 [main] INFO  ADV.EMCO.login - Record Number 254 Processed:19650922
17:58:40.425 [main] INFO  ADV.EMCO.login - Record Number 255 Processed:19650925
17:58:48.084 [main] INFO  ADV.EMCO.login - Record Number 256 Processed:19651781
17:58:55.121 [main] INFO  ADV.EMCO.login - Record Number 257 Processed:19651782
17:59:02.598 [main] INFO  ADV.EMCO.login - Record Number 258 Processed:19651784
17:59:10.067 [main] INFO  ADV.EMCO.login - Record Number 259 Processed:19651785
17:59:17.579 [main] INFO  ADV.EMCO.login - Record Number 260 Processed:19651788
17:59:25.545 [main] INFO  ADV.EMCO.login - Record Number 261 Processed:19651791
17:59:35.404 [main] INFO  ADV.EMCO.login - Record Number 262 Processed:19651803
17:59:46.947 [main] INFO  ADV.EMCO.login - Record Number 263 Processed:19651804
17:59:55.175 [main] INFO  ADV.EMCO.login - Record Number 264 Processed:19651814
18:00:03.043 [main] INFO  ADV.EMCO.login - Record Number 265 Processed:19651815
18:00:11.008 [main] INFO  ADV.EMCO.login - Record Number 266 Processed:19651816
18:00:18.242 [main] INFO  ADV.EMCO.login - Record Number 267 Processed:19651818
18:00:26.249 [main] INFO  ADV.EMCO.login - Record Number 268 Processed:19651819
18:00:33.367 [main] INFO  ADV.EMCO.login - Record Number 269 Processed:19651820
18:00:40.512 [main] INFO  ADV.EMCO.login - Record Number 270 Processed:19651821
18:00:48.158 [main] INFO  ADV.EMCO.login - Record Number 271 Processed:19651822
18:00:55.449 [main] INFO  ADV.EMCO.login - Record Number 272 Processed:19651823
18:01:03.378 [main] INFO  ADV.EMCO.login - Record Number 273 Processed:19651827
18:01:12.070 [main] INFO  ADV.EMCO.login - Record Number 274 Processed:19651828
18:01:20.198 [main] INFO  ADV.EMCO.login - Record Number 275 Processed:19651830
18:01:27.704 [main] INFO  ADV.EMCO.login - Record Number 276 Processed:19651831
18:01:35.935 [main] INFO  ADV.EMCO.login - Record Number 277 Processed:19651832
18:01:45.111 [main] INFO  ADV.EMCO.login - Record Number 278 Processed:19651834
18:01:52.367 [main] INFO  ADV.EMCO.login - Record Number 279 Processed:19651837
18:02:00.072 [main] INFO  ADV.EMCO.login - Record Number 280 Processed:19651838
18:02:08.270 [main] INFO  ADV.EMCO.login - Record Number 281 Processed:19651839
18:02:16.024 [main] INFO  ADV.EMCO.login - Record Number 282 Processed:19651841
18:02:23.684 [main] INFO  ADV.EMCO.login - Record Number 283 Processed:19651842
18:02:30.779 [main] INFO  ADV.EMCO.login - Record Number 284 Processed:19651848
18:03:00.262 [main] INFO  ADV.EMCO.login - Record Number 285 Processed:19651850
18:03:08.124 [main] INFO  ADV.EMCO.login - Record Number 286 Processed:19651851
18:03:15.019 [main] INFO  ADV.EMCO.login - Record Number 287 Processed:19651852
18:03:22.966 [main] INFO  ADV.EMCO.login - Record Number 288 Processed:19651854
18:03:30.351 [main] INFO  ADV.EMCO.login - Record Number 289 Processed:19651856
18:03:37.751 [main] INFO  ADV.EMCO.login - Record Number 290 Processed:19651859
18:03:45.028 [main] INFO  ADV.EMCO.login - Record Number 291 Processed:19651860
18:03:51.898 [main] INFO  ADV.EMCO.login - Record Number 292 Processed:19651861
18:03:59.108 [main] INFO  ADV.EMCO.login - Record Number 293 Processed:19651862
18:04:06.411 [main] INFO  ADV.EMCO.login - Record Number 294 Processed:19651863
18:04:14.834 [main] INFO  ADV.EMCO.login - Record Number 295 Processed:19651864
18:04:23.130 [main] INFO  ADV.EMCO.login - Record Number 296 Processed:19651866
